expiry,cleanExpiry,dow,tenor,vTenor,spot,fwd,strike,pcIndicator,volume,openInterest,bidPrice,offerPrice,midPrice,bidImpliedV,offerImpliedV,midImpliedV,criticalSpot
20150515,20150515,F,0.20273972602739726,0.20400409177261436,211.9440126548722,211.13359425336267,224.0,1.0,132.0,13662.0,0.27,0.28,0.275,0.08871933774832941,0.08947453688008289,0.08913298932183557,-1.0
20150515,20150515,F,0.20273972602739726,0.20400409177261436,211.9440126548722,211.13359425336267,225.0,1.0,502.0,5219.0,0.2,0.21,0.20500000000000002,0.08789593880810649,0.08881199037428149,0.08833875169247017,-1.0
20150515,20150515,F,0.20273972602739726,0.20400409177261436,211.9440126548722,211.13359425336267,226.0,1.0,10.0,0.0,0.15,0.16,0.155,0.08753640298037067,0.0886333029696805,0.08810016116723274,-1.0
20150515,20150515,F,0.20273972602739726,0.20400409177261436,211.9440126548722,211.13359425336267,227.0,1.0,11.0,54.0,0.12,0.13,0.125,0.0883756845604195,0.08966186414257526,0.08900621402494086,-1.0
20150515,20150515,F,0.20273972602739726,0.20400409177261436,211.9440126548722,211.13359425336267,228.0,1.0,6.0,10000.0,0.1,0.11,0.10500000000000001,0.0898509078667001,0.09132762868057696,0.09063311213984519,-1.0
20150515,20150515,F,0.20273972602739726,0.20400409177261436,211.9440126548722,211.13359425336267,229.0,1.0,0.0,199.0,0.08,0.1,0.09,0.09069251959032183,0.09405282970716417,0.09242995304049491,-1.0
20150515,20150515,F,0.20273972602739726,0.20400409177261436,211.9440126548722,211.13359425336267,230.0,1.0,10.0,1688.0,0.06,0.08,0.07,0.09066924024356965,0.09473833345948125,0.09276217286070637,-1.0
20150515,20150515,F,0.20273972602739726,0.20400409177261436,211.9440126548722,211.13359425336267,235.0,1.0,0.0,1555.0,0.03,0.04,0.035,0.10010773651640259,0.10378189302156064,0.1020343128362923,-1.0
20150515,20150515,F,0.20273972602739726,0.20400409177261436,211.9440126548722,211.13359425336267,240.0,1.0,0.0,41.0,0.01,0.03,0.02,NaN,0.11698928744592159,0.11167029227205266,-1.0
20150619,20150619,F,0.29863013698630136,0.29986847873739586,211.9440126548722,210.68157884999997,100.0,-1.0,0.0,1558.0,0.01,0.04,0.025,NaN,NaN,0.4789096141215551,-1.0
20150619,20150619,F,0.29863013698630136,0.29986847873739586,211.9440126548722,210.68157884999997,105.0,-1.0,2.0,1156.0,0.02,0.04,0.03,NaN,NaN,0.4572601083861875,-1.0
20150619,20150619,F,0.29863013698630136,0.29986847873739586,211.9440126548722,210.68157884999997,110.0,-1.0,1.0,3377.0,0.03,0.06,0.045,NaN,NaN,0.4465499814270621,-1.0
20150619,20150619,F,0.29863013698630136,0.29986847873739586,211.9440126548722,210.68157884999997,115.0,-1.0,0.0,2563.0,0.05,0.07,0.060000000000000005,NaN,NaN,0.43120586356053486,-1.0
20150619,20150619,F,0.29863013698630136,0.29986847873739586,211.9440126548722,210.68157884999997,120.0,-1.0,101.0,11764.0,0.06,0.09,0.075,NaN,0.42240774560338606,0.4134981739085292,-1.0
20150619,20150619,F,0.29863013698630136,0.29986847873739586,211.9440126548722,210.68157884999997,125.0,-1.0,250.0,7781.0,0.08,0.11,0.095,0.3888462404513592,0.40415657147899536,0.3969314923128958,-1.0
20150619,20150619,F,0.29863013698630136,0.29986847873739586,211.9440126548722,210.68157884999997,130.0,-1.0,0.0,66844.0,0.12,0.14,0.13,0.3806823698981989,0.3884534660057343,0.3846885793880393,-1.0
20150619,20150619,F,0.29863013698630136,0.29986847873739586,211.9440126548722,210.68157884999997,135.0,-1.0,0.0,42296.0,0.14,0.16,0.15000000000000002,0.3610259251131913,0.3675662098171784,0.3643925395538957,-1.0
