expiry,cleanExpiry,dow,tenor,vTenor,spot,fwd,strike,pcIndicator,volume,openInterest,bidPrice,offerPrice,midPrice,bidImpliedV,offerImpliedV,midImpliedV,criticalSpot
20160226,20160226,F,0.0027397260273972603,0.0029226947245360223,195.47449307447172,195.48713008221029,183.5,-1.0,31.0,15319.0,0.01,0.02,0.015,0.47035864508441383,0.5120569547318128,0.4936754392603112,-1.0
20160226,20160226,F,0.0027397260273972603,0.0029226947245360223,195.47449307447172,195.48713008221029,184.0,-1.0,504.0,20825.0,0.01,0.02,0.015,0.45235911320863337,0.4927711838292509,0.47495009057426757,-1.0
20160226,20160226,F,0.0027397260273972603,0.0029226947245360223,195.47449307447172,195.48713008221029,184.5,-1.0,4169.0,15840.0,0.01,0.02,0.015,0.43434259413729925,0.4734580800370086,0.45619890306459787,-1.0
20160226,20160226,F,0.0027397260273972603,0.0029226947245360223,195.47449307447172,195.48713008221029,185.0,-1.0,652.0,47337.0,0.01,0.02,0.015,0.41630107485493867,0.4541115389570661,0.437457548552504,-1.0
20160226,20160226,F,0.0027397260273972603,0.0029226947245360223,195.47449307447172,195.48713008221029,185.5,-1.0,784.0,7452.0,0.01,0.02,0.015,0.39822985309590286,0.43472544243447286,0.41858034407625583,-1.0
20160226,20160226,F,0.0027397260273972603,0.0029226947245360223,195.47449307447172,195.48713008221029,186.0,-1.0,4201.0,25616.0,0.01,0.02,0.015,0.38007335796548,0.4152934524529484,0.39973743139691875,-1.0
20160226,20160226,F,0.0027397260273972603,0.0029226947245360223,195.47449307447172,195.48713008221029,186.5,-1.0,15064.0,6242.0,0.01,0.02,0.015,0.36194212895141725,0.3958559076656365,0.3808266949855079,-1.0
20160226,20160226,F,0.0027397260273972603,0.0029226947245360223,195.47449307447172,195.48713008221029,187.0,-1.0,29834.0,33486.0,0.01,0.02,0.015,0.3436822057925334,0.37624602045198674,0.36191226309078445,-1.0
20160226,20160226,F,0.0027397260273972603,0.0029226947245360223,195.47449307447172,195.48713008221029,187.5,-1.0,5952.0,22944.0,0.01,0.02,0.015,0.32544562681367206,0.35664749140768676,0.34285441011458784,-1.0
20160226,20160226,F,0.0027397260273972603,0.0029226947245360223,195.47449307447172,195.48713008221029,188.0,-1.0,11087.0,56864.0,0.01,0.02,0.015,0.30713646131183037,0.33694217306482416,0.3237684084299581,-1.0
20160226,20160226,F,0.0027397260273972603,0.0029226947245360223,195.47449307447172,195.48713008221029,188.5,-1.0,3862.0,17324.0,0.01,0.02,0.015,0.28871795537894895,0.3171567559643346,0.3046110012309808,-1.0
20160226,20160226,F,0.0027397260273972603,0.0029226947245360223,195.47449307447172,195.48713008221029,189.0,-1.0,27413.0,23715.0,0.01,0.02,0.015,0.2703098483855163,0.29730100814346483,0.28537465762324066,-1.0
20160226,20160226,F,0.0027397260273972603,0.0029226947245360223,195.47449307447172,195.48713008221029,189.5,-1.0,2448.0,16080.0,0.01,0.02,0.015,0.25173308907193837,0.2773069461187091,0.2659484797291247,-1.0
20160226,20160226,F,0.0027397260273972603,0.0029226947245360223,195.47449307447172,195.48713008221029,190.0,-1.0,39595.0,52663.0,0.02,0.03,0.025,0.2571828714736116,0.2742953039097232,0.2662425799003426,-1.0
20160226,20160226,F,0.0027397260273972603,0.0029226947245360223,195.47449307447172,195.48713008221029,190.5,-1.0,6286.0,14705.0,0.02,0.03,0.025,0.23690857369468002,0.25300997301236594,0.2454190530958777,-1.0
