expiry,cleanExpiry,dow,tenor,vTenor,spot,fwd,strike,pcIndicator,volume,openInterest,bidPrice,offerPrice,midPrice,bidImpliedV,offerImpliedV,midImpliedV,criticalSpot
20100116,20100115,F,0.024657534246575342,0.025135174631009793,111.5913675456081,111.52108422594445,97.0,-1.0,4.0,5124.0,0.01,0.02,0.015,0.34601987855153354,0.37562422058063716,0.3626061269258183,-1.0
20100116,20100115,F,0.024657534246575342,0.025135174631009793,111.5913675456081,111.52108422594445,98.0,-1.0,20.0,12047.0,0.01,0.02,0.015,0.323149552847404,0.3511606784190652,0.33883278168682646,-1.0
20100116,20100115,F,0.024657534246575342,0.025135174631009793,111.5913675456081,111.52108422594445,99.0,-1.0,31.0,10006.0,0.01,0.02,0.015,0.3003702948809153,0.3267798061331197,0.31519195000636646,-1.0
20100116,20100115,F,0.024657534246575342,0.025135174631009793,111.5913675456081,111.52108422594445,100.0,-1.0,393.0,45184.0,0.01,0.02,0.015,0.27766575538503135,0.3024656875680425,0.2915266728206736,-1.0
20100116,20100115,F,0.024657534246575342,0.025135174631009793,111.5913675456081,111.52108422594445,101.0,-1.0,215.0,7350.0,0.01,0.03,0.02,0.25499447325017177,0.2943251373755079,0.2781416086607442,-1.0
20100116,20100115,F,0.024657534246575342,0.025135174631009793,111.5913675456081,111.52108422594445,102.0,-1.0,308.0,12833.0,0.03,0.04,0.035,0.2689709776148572,0.28099877447861554,0.2752974967562965,-1.0
20100116,20100115,F,0.024657534246575342,0.025135174631009793,111.5913675456081,111.52108422594445,103.0,-1.0,3515.0,39575.0,0.04,0.06,0.05,0.2547318356070178,0.2726867639284691,0.26431462973450004,-1.0
20100116,20100115,F,0.024657534246575342,0.025135174631009793,111.5913675456081,111.52108422594445,104.0,-1.0,3904.0,10695.0,0.06,0.08,0.07,0.2449858891066863,0.25850992848190524,0.2519889171764953,-1.0
20100116,20100115,F,0.024657534246575342,0.025135174631009793,111.5913675456081,111.52108422594445,105.0,-1.0,4595.0,26397.0,0.12,0.13,0.125,0.2500231148959032,0.25455888915596603,0.25227617524130075,-1.0
20100116,20100115,F,0.024657534246575342,0.025135174631009793,111.5913675456081,111.52108422594445,106.0,-1.0,1895.0,16367.0,0.17,0.19,0.18,0.23823193415486368,0.2452535338851734,0.24176669149499203,-1.0
